regatta_id,race_id,date,start_time,race_no,event,round,distance_m,lane,seed,team_name,team_id,place,time,page
2025_OHANA,2025_OHANA-1,2025-10-04,8:00 AM,1,Community Mixed Division,Qualifying,200,1,,GNCA / Vibrance 360,,4,59.2,1
2025_OHANA,2025_OHANA-1,2025-10-04,8:00 AM,1,Community Mixed Division,Qualifying,200,2,,Team SOAFO,,2,55.64,1
2025_OHANA,2025_OHANA-1,2025-10-04,8:00 AM,1,Community Mixed Division,Qualifying,200,3,,CCLI / PCAA,,3,58.48,1
2025_OHANA,2025_OHANA-1,2025-10-04,8:00 AM,1,Community Mixed Division,Qualifying,200,4,,Mid Autumn Dragons,,1,55.04,1
2025_OHANA,2025_OHANA-2,2025-10-04,8:12 AM,2,Community Mixed Division,Qualifying,200,1,,HUAXIA DRAGONS,,2,51.88,1
2025_OHANA,2025_OHANA-2,2025-10-04,8:12 AM,2,Community Mixed Division,Qualifying,200,2,,NY Wall St Dragons,,1,50.4,1
2025_OHANA,2025_OHANA-2,2025-10-04,8:12 AM,2,Community Mixed Division,Qualifying,200,3,,CAAEW,,4,01:00.8,1
2025_OHANA,2025_OHANA-2,2025-10-04,8:12 AM,2,Community Mixed Division,Qualifying,200,4,,GNCA / Beyond Golf,,3,59.68,1
2025_OHANA,2025_OHANA-3,2025-10-04,8:24 AM,3,Community Mixed Division,Qualifying,200,1,,GPWCAA / Lincoln Navigator,,4,59.44,1
2025_OHANA,2025_OHANA-3,2025-10-04,8:24 AM,3,Community Mixed Division,Qualifying,200,2,,GRACE / JCC,,1,56.28,1
2025_OHANA,2025_OHANA-3,2025-10-04,8:24 AM,3,Community Mixed Division,Qualifying,200,3,,SCC / NHPCA,,2,57.96,1
2025_OHANA,2025_OHANA-3,2025-10-04,8:24 AM,3,Community Mixed Division,Qualifying,200,4,,HCA,,3,58.92,1
2025_OHANA,2025_OHANA-4,2025-10-04,8:36 AM,4,Community Mixed Division,Qualifying,200,2,,Team Christine / Tous Les Jours Great Neck,,1,51.48,1
2025_OHANA,2025_OHANA-4,2025-10-04,8:36 AM,4,Community Mixed Division,Qualifying,200,4,,852 Speedboat,,2,55.12,1
2025_OHANA,2025_OHANA-4,2025-10-04,8:36 AM,4,Community Mixed Division,Qualifying,200,1,,Paddle for the Cure,,3,59.16,1
